Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
NPSF10034002,23283R100,CYRUSONE INC,5808 ,327455.04 
NPSF10013002,23283R100,CYRUSONE INC,8833 ,498004.54 
NPSF10033002,23283R100,CYRUSONE INC,6923 ,390318.74 
NPSF30015002,23304Y100,DBS GROUP HOLDINGS LTD,47090 ,2806375.64 
NPSF10034002,233153204,DCT INDUSTRIAL TRUST INC,13195 ,700522.55 
NPSF10013002,233153204,DCT INDUSTRIAL TRUST INC,10446 ,554578.14 
NPSF10014002,23331S100,DHI GROUP INC,7417 ,21880.15 
NPSF10033002,233326107,DST SYSTEMS INC,5742 ,705117.60 
NPSF10013002,233326107,DST SYSTEMS INC,3574 ,438887.20 
NPSF10014002,23332B106,DSP GROUP INC,3233 ,39442.60 
NPSF10014002,23334L102,DSW INC,10394 ,177841.34 
NPSF10014002,233377407,DXP ENTERPRISES INC/TX,2310 ,84338.10 
NPSF30017002,233825207,DAIMLER AG,30600 ,2239920.00 
NPSF10014002,234264109,DAKTRONICS INC,6002 ,58339.44 
NPSF10033002,235825205,DANA INC,26487 ,584038.35 
NPSF10013002,235825205,DANA INC,16249 ,358290.45 
NPSF10035002,235851102,DANAHER CORP,20400 ,1756440.00 
NPSF10014002,237266101,DARLING INGREDIENTS INC,25167 ,401665.32 
NPSF30015002,237545108,DASSAULT SYSTEMES SE,61535 ,5758199.16 
NPSF10014002,238337109,DAVE & BUSTER'S ENTERTAINMENT,5721 ,386453.55 
NPSF10030002,238337109,DAVE & BUSTER'S ENTERTAINMENT,20526 ,1386531.30 
NPSF10033002,242370203,DEAN FOODS CO,16501 ,305598.52 
NPSF10013002,242370203,DEAN FOODS CO,10165 ,188255.80 
NPSF10013002,243537107,DECKERS OUTDOOR CORP,3611 ,256344.89 
NPSF10033002,243537107,DECKERS OUTDOOR CORP,2845 ,201966.55 
NPSF10034002,243537107,DECKERS OUTDOOR CORP,2281 ,161928.19 
NPSF10037002,245077102,DEL FRISCO'S RESTAURANT GROUP,33600 ,577920.00 
NPSF10014002,247850100,DELTIC TIMBER CORP,1585 ,110506.20 
NPSF10014002,247916208,DENBURY RESOURCES INC,59653 ,92462.15 
NPSF10013002,248019101,DELUXE CORP,5493 ,382257.87 
NPSF10033002,248019101,DELUXE CORP,2998 ,208630.82 
NPSF10034002,248019101,DELUXE CORP,4556 ,317052.04 
NPSF10019002,248019101,DELUXE CORP,10888 ,757695.92 
NPSF10014002,249908104,DEPOMED INC,9639 ,102751.74 
NPSF30017002,251566105,DEUTSCHE TELEKOM AG,161401 ,3130856.60 
NPSF10018002,252131107,DEXCOM INC,17140 ,1145809.00 
NPSF10033002,25271C102,DIAMOND OFFSHORE DRILLING INC,11720 ,139116.40 
NPSF10013002,25271C102,DIAMOND OFFSHORE DRILLING INC,7217 ,85665.79 
NPSF10014002,252784301,DIAMONDROCK HOSPITALITY CO,30600 ,343026.00 
NPSF10013002,253393102,DICK'S SPORTING GOODS INC,9922 ,411763.00 
NPSF10034002,253393102,DICK'S SPORTING GOODS INC,12627 ,524020.50 
NPSF10013002,253651103,DIEBOLD NIXDORF INC,8520 ,234300.00 
NPSF10033002,253651103,DIEBOLD NIXDORF INC,13838 ,380545.00 
NPSF10014002,253798102,DIGI INTERNATIONAL INC,3955 ,38165.75 
NPSF10037002,253827109,DIGIRAD CORP,43450 ,169455.00 
NPSF10014002,253922108,DIME COMMUNITY BANCSHARES INC,4656 ,90326.40 
NPSF10037002,253922108,DIME COMMUNITY BANCSHARES INC,45425 ,881245.00 
NPSF10013002,254067101,DILLARD'S INC,2745 ,143316.45 
NPSF10033002,254067101,DILLARD'S INC,4251 ,221944.71 
NPSF10014002,254423106,DINEEQUITY INC,2513 ,120020.88 
NPSF10014002,254543101,DIODES INC,5718 ,147009.78 
NPSF10014002,25456K101,DIPLOMAT PHARMACY INC,6500 ,117000.00 
NPSF10034002,25754A201,DOMINO'S PIZZA INC,6916 ,1489291.44 
NPSF10013002,25754A201,DOMINO'S PIZZA INC,5484 ,1180924.56 
NPSF10013002,257559203,DOMTAR CORP,7153 ,268165.97 
NPSF10033002,257559203,DOMTAR CORP,11479 ,430347.71 
NPSF10034002,257651109,DONALDSON CO INC,13276 ,612289.12 
NPSF10033002,257651109,DONALDSON CO INC,7203 ,332202.36 
NPSF10013002,257651109,DONALDSON CO INC,15043 ,693783.16 
NPSF10014002,257867200,RR DONNELLEY & SONS CO,10849 ,137131.36 
NPSF10014002,25787G100,DONNELLEY FINANCIAL SOLUTIONS,3906 ,91751.94 
NPSF10014002,258278100,DORMAN PRODUCTS INC,4644 ,390096.00 
NPSF10030002,258278100,DORMAN PRODUCTS INC,15817 ,1328628.00 
NPSF10013002,25960P109,DOUGLAS EMMETT INC,16656 ,639923.52 
NPSF10034002,25960P109,DOUGLAS EMMETT INC,20874 ,801979.08 
NPSF10035002,260543103,DOW CHEMICAL CO/THE,31800 ,1995768.00 
NPSF10013002,262037104,DRIL-QUIP INC,4234 ,213181.90 
NPSF10019002,262037104,DRIL-QUIP INC,10761 ,541816.35 
NPSF10033002,262037104,DRIL-QUIP INC,6874 ,346105.90 
NPSF10037002,264147109,DUCOMMUN INC,20000 ,640800.00 
NPSF10034002,264411505,DUKE REALTY CORP,50862 ,1474998.00 
NPSF10013002,264411505,DUKE REALTY CORP,40298 ,1168642.00 
NPSF10034002,26483E100,DUN & BRADSTREET CORP/THE,5269 ,565205.63 
NPSF10013002,26483E100,DUN & BRADSTREET CORP/THE,4203 ,450855.81 
NPSF10013002,265504100,DUNKIN' BRANDS GROUP INC,10444 ,610138.48 
NPSF10034002,265504100,DUNKIN' BRANDS GROUP INC,13199 ,771085.58 
NPSF10033002,267475101,DYCOM INDUSTRIES INC,2800 ,242732.00 
NPSF10030002,267475101,DYCOM INDUSTRIES INC,12069 ,1046261.61 
NPSF10013002,267475101,DYCOM INDUSTRIES INC,3568 ,309309.92 
NPSF10034002,267475101,DYCOM INDUSTRIES INC,2311 ,200340.59 
NPSF10014002,268603107,EL POLLO LOCO HOLDINGS INC,3217 ,44555.45 
NPSF30017002,26874R108,ENI SPA,135213 ,4334928.78 
NPSF10035002,26884L109,EQT CORP,23100 ,1297527.00 
NPSF10034002,26884U109,EPR PROPERTIES,5622 ,400961.04 
NPSF10033002,26884U109,EPR PROPERTIES,4545 ,324149.40 
NPSF10013002,26884U109,EPR PROPERTIES,7285 ,519566.20 
NPSF10014002,26885G109,ERA GROUP INC,2902 ,25479.56 
NPSF10034002,26969P108,EAGLE MATERIALS INC,6951 ,669937.38 
NPSF10013002,26969P108,EAGLE MATERIALS INC,5502 ,530282.76 
NPSF10014002,269796108,EAGLE PHARMACEUTICALS INC/DE,1214 ,88197.10 
NPSF10034002,27579R104,EAST WEST BANCORP INC,13247 ,727790.18 
NPSF10018002,27579R104,EAST WEST BANCORP INC,21030 ,1155388.20 
NPSF10033002,27579R104,EAST WEST BANCORP INC,9435 ,518358.90 
NPSF10013002,27579R104,EAST WEST BANCORP INC,16347 ,898104.18 
NPSF10019002,27579R104,EAST WEST BANCORP INC,68532 ,3765148.08 
NPSF10014002,277276101,EASTGROUP PROPERTIES INC,5090 ,420739.40 
NPSF10034002,278265103,EATON VANCE CORP,10227 ,486600.66 
NPSF10033002,278265103,EATON VANCE CORP,7930 ,377309.40 
NPSF10013002,278265103,EATON VANCE CORP,13037 ,620300.46 
NPSF10014002,278715206,EBIX INC,3325 ,186200.00 
NPSF10014002,27875T101,ECHO GLOBAL LOGISTICS INC,4093 ,79199.55 
NPSF10013002,28035Q102,EDGEWELL PERSONAL CARE CO,6527 ,487501.63 
NPSF10033002,28035Q102,EDGEWELL PERSONAL CARE CO,10394 ,776327.86 
NPSF10019002,28140H203,EDUCATION REALTY TRUST INC,16439 ,633559.06 
NPSF10013002,28140H203,EDUCATION REALTY TRUST INC,8287 ,319380.98 
NPSF10034002,28140H203,EDUCATION REALTY TRUST INC,10518 ,405363.72 
NPSF10014002,28238P109,EHEALTH INC,2494 ,46263.70 
NPSF10014002,282914100,8X8 INC,13907 ,193307.30 
NPSF10014002,283677854,EL PASO ELECTRIC CO,6146 ,335571.60 
NPSF10019002,283677854,EL PASO ELECTRIC CO,18574 ,1014140.40 
NPSF10018002,28470R102,ELDORADO RESORTS INC,92719 ,1933191.15 
NPSF10014002,285229100,ELECTRO SCIENTIFIC INDUSTRIES,4882 ,41789.92 
NPSF10037002,285229100,ELECTRO SCIENTIFIC INDUSTRIES,50600 ,433136.00 
NPSF10014002,286082102,ELECTRONICS FOR IMAGING INC,7096 ,341246.64 
NPSF10019002,286082102,ELECTRONICS FOR IMAGING INC,24125 ,1160171.25 
NPSF10018002,286082102,ELECTRONICS FOR IMAGING INC,25625 ,1232306.25 
NPSF10014002,288853104,PERRY ELLIS INTERNATIONAL INC,1807 ,33881.25 
NPSF10037002,288853104,PERRY ELLIS INTERNATIONAL INC,26875 ,503906.25 
NPSF10030002,29084Q100,EMCOR GROUP INC,26114 ,1684614.14 
NPSF10033002,29084Q100,EMCOR GROUP INC,5640 ,363836.40 
NPSF10034002,29084Q100,EMCOR GROUP INC,4067 ,262362.17 
NPSF10013002,29084Q100,EMCOR GROUP INC,6811 ,439377.61 
NPSF10014002,29089Q105,EMERGENT BIOSOLUTIONS INC,5138 ,164210.48 
NPSF10014002,292218104,EMPLOYERS HOLDINGS INC,4940 ,201799.00 
NPSF10014002,29251M106,ENANTA PHARMACEUTICALS INC,2080 ,63731.20 
NPSF10014002,292554102,ENCORE CAPITAL GROUP INC,3528 ,132829.20 
NPSF10014002,292562105,ENCORE WIRE CORP,3203 ,136928.25 
NPSF10013002,29265N108,ENERGEN CORP,11062 ,641596.00 
NPSF10033002,29265N108,ENERGEN CORP,10304 ,597632.00 
NPSF10034002,29265N108,ENERGEN CORP,5802 ,336516.00 
NPSF30017002,29265W207,ENEL SPA,726294 ,3898746.19 
NPSF10034002,29272W109,ENERGIZER HOLDINGS INC,5465 ,298990.15 
NPSF10013002,29272W109,ENERGIZER HOLDINGS INC,7072 ,386909.12 
NPSF10033002,29272W109,ENERGIZER HOLDINGS INC,4279 ,234104.09 
NPSF10034002,29275Y102,ENERSYS,6241 ,469697.66 
NPSF10013002,29275Y102,ENERSYS,4954 ,372838.04 
NPSF10014002,29286C107,ENGILITY HOLDINGS INC,2643 ,71731.02 
NPSF10019002,29355X107,ENPRO INDUSTRIES INC,9394 ,633061.66 
NPSF10014002,29355X107,ENPRO INDUSTRIES INC,3274 ,220634.86 
NPSF10014002,29357K103,ENOVA INTERNATIONAL INC,3478 ,47126.90 
NPSF10014002,29358P101,ENSIGN GROUP INC/THE,7193 ,135516.12 
NPSF10014002,294268107,EPLUS INC,1984 ,156240.00 
NPSF10030002,294268107,EPLUS INC,11274 ,887827.50 
NPSF10014002,296315104,ESCO TECHNOLOGIES INC,3930 ,229708.50 
NPSF10037002,29667D104,ESSA BANCORP INC,28900 ,425119.00 
NPSF10014002,296689102,ESSENDANT INC,5929 ,99903.65 
NPSF10013002,297425100,ESTERLINE TECHNOLOGIES CORP,3398 ,337251.50 
NPSF10033002,297425100,ESTERLINE TECHNOLOGIES CORP,5396 ,535553.00 
NPSF10037002,297602104,ETHAN ALLEN INTERIORS INC,13925 ,382241.25 
NPSF10014002,297602104,ETHAN ALLEN INTERIORS INC,3817 ,104776.65 
NPSF10018002,298736109,EURONET WORLDWIDE INC,6740 ,597568.40 
NPSF10030002,298736109,EURONET WORLDWIDE INC,27967 ,2479554.22 
NPSF10014002,29977A105,EVERCORE PARTNERS INC,5920 ,415584.00 
NPSF10030002,29977A105,EVERCORE PARTNERS INC,21585 ,1515267.00 
NPSF10037002,30064E109,EXACTECH INC,18450 ,574717.50 
NPSF10030002,302081104,EXLSERVICE HOLDINGS INC,18345 ,972285.00 
NPSF10014002,302081104,EXLSERVICE HOLDINGS INC,5115 ,271095.00 
NPSF10014002,30214U102,EXPONENT INC,3910 ,232254.00 
NPSF10014002,30219E103,EXPRESS INC,12251 ,76813.77 
NPSF10014002,30227H106,EXTERRAN CORP,4725 ,134331.75 
NPSF10014002,302301106,EZCORP INC,7298 ,63127.70 
NPSF10013002,302520101,FNB CORP/PA,36416 ,489066.88 
NPSF10033002,302520101,FNB CORP/PA,58022 ,779235.46 
NPSF10018002,30255G103,FCB FINANCIAL HOLDINGS INC,24610 ,1151748.00 
NPSF10014002,30281V108,FTD COS INC,2567 ,47027.44 
NPSF10033002,302941109,FTI CONSULTING INC,7490 ,262973.90 
NPSF10013002,302941109,FTI CONSULTING INC,4703 ,165122.33 
NPSF10033002,303075105,FACTSET RESEARCH SYSTEMS INC,2014 ,334243.44 
NPSF10034002,303075105,FACTSET RESEARCH SYSTEMS INC,4091 ,678942.36 
NPSF10013002,303075105,FACTSET RESEARCH SYSTEMS INC,4490 ,745160.40 
NPSF10034002,303250104,FAIR ISAAC CORP,4461 ,597506.34 
NPSF10013002,303250104,FAIR ISAAC CORP,3533 ,473210.02 
NPSF30015002,307305102,FANUC CORP,208116 ,4055764.65 
NPSF10014002,311642102,FARO TECHNOLOGIES INC,2402 ,85631.30 
NPSF10014002,313855108,FEDERAL SIGNAL CORP,9281 ,149702.53 
NPSF10013002,314211103,FEDERATED INVESTORS INC,10696 ,288578.08 
NPSF10034002,314211103,FEDERATED INVESTORS INC,6550 ,176719.00 
NPSF10033002,314211103,FEDERATED INVESTORS INC,8580 ,231488.40 
NPSF10014002,316394105,FIDELITY SOUTHERN CORP,3170 ,68852.40 
NPSF10037002,316394105,FIDELITY SOUTHERN CORP,41750 ,906810.00 
NPSF10014002,31660B101,FIESTA RESTAURANT GROUP INC,4032 ,90316.80 
NPSF10014002,317485100,FINANCIAL ENGINES INC,8745 ,342804.00 
NPSF10030002,317485100,FINANCIAL ENGINES INC,22300 ,874160.00 
NPSF10037002,317585404,FINANCIAL INSTITUTIONS INC,23300 ,722300.00 
NPSF10014002,317923100,FINISH LINE INC/THE,6076 ,86218.44 
NPSF10033002,31847R102,FIRST AMERICAN FINANCIAL CORP,19920 ,866320.80 
NPSF10013002,31847R102,FIRST AMERICAN FINANCIAL CORP,12439 ,540972.11 
NPSF10037002,31866P102,FIRST BANCORP INC/ME,15850 ,409405.50 
NPSF10014002,318672706,FIRST BANCORP/PUERTO RICO,23451 ,124993.83 
NPSF10014002,319829107,FIRST COMMONWEALTH FINANCIAL C,13224 ,166357.92 
NPSF10019002,320209109,FIRST FINANCIAL BANCORP,50598 ,1280129.40 
NPSF10014002,320209109,FIRST FINANCIAL BANCORP,9461 ,239363.30 
NPSF10014002,32020R109,FIRST FINANCIAL BANKSHARES INC,10053 ,393072.30 
NPSF10037002,320218100,FIRST FINANCIAL CORP/IN,20875 ,963381.25 
NPSF10034002,320517105,FIRST HORIZON NATIONAL CORP,33557 ,583891.80 
NPSF10013002,320517105,FIRST HORIZON NATIONAL CORP,26656 ,463814.40 
NPSF10034002,32054K103,FIRST INDUSTRIAL REALTY TRUST,16853 ,493624.37 
NPSF10013002,32054K103,FIRST INDUSTRIAL REALTY TRUST,13286 ,389146.94 
NPSF10037002,320557101,FIRST INTERNET BANCORP,23875 ,620750.00 
NPSF10019002,32055Y201,FIRST INTERSTATE BANCSYSTEM IN,20282 ,737250.70 
NPSF10014002,320867104,FIRST MIDWEST BANCORP INC/IL,12355 ,280582.05 
NPSF10019002,320867104,FIRST MIDWEST BANCORP INC/IL,44621 ,1013342.91 
NPSF10035002,33616C100,FIRST REPUBLIC BANK/CA,23400 ,2220894.00 
NPSF10033002,336433107,FIRST SOLAR INC,14314 ,548512.48 
NPSF10013002,336433107,FIRST SOLAR INC,8992 ,344573.44 
NPSF10014002,33767D105,FIRSTCASH INC,7379 ,398466.00 
NPSF10014002,33829M101,FIVE BELOW INC,8385 ,435600.75 
NPSF10014002,343389102,FLOTEK INDUSTRIES INC,8485 ,84425.75 
NPSF10033002,343498101,FLOWERS FOODS INC,33636 ,634711.32 
NPSF10013002,343498101,FLOWERS FOODS INC,20991 ,396100.17 
NPSF10018002,34354P105,FLOWSERVE CORP,13130 ,647309.00 
NPSF10014002,346233109,FORESTAR GROUP INC,4931 ,69773.65 
NPSF10014002,346563109,FORRESTER RESEARCH INC,1499 ,59135.55 
NPSF10034002,34959E109,FORTINET INC,21390 ,838701.90 
NPSF10018002,34959E109,FORTINET INC,22605 ,886342.05 
NPSF10013002,34959E109,FORTINET INC,17059 ,668883.39 
NPSF10014002,349853101,FORWARD AIR CORP,4621 ,243434.28 
NPSF10014002,34988V106,FOSSIL GROUP INC,6291 ,68697.72 
NPSF10014002,35086T109,FOUR CORNERS PROPERTY TRUST IN,9160 ,230099.20 
NPSF10014002,35138V102,FOX FACTORY HOLDING CORP,5147 ,167534.85 
NPSF10014002,351793104,FRANCESCA'S HOLDINGS CORP,5658 ,72026.34 
NPSF10014002,353514102,FRANKLIN ELECTRIC CO INC,5877 ,231553.80 
NPSF10037002,35352P104,FRANKLIN FINANCIAL NETWORK INC,14150 ,567415.00 
NPSF10014002,35471R106,FRANKLIN STREET PROPERTIES COR,16454 ,189221.00 
NPSF10014002,356108100,FRED'S INC,5267 ,74370.04 
NPSF30015002,358029106,FRESENIUS MEDICAL CARE AG & CO,66950 ,3208244.00 
NPSF10013002,35906A108,FRONTIER COMMUNICATIONS CORP,131607 ,171089.10 
NPSF10033002,35906A108,FRONTIER COMMUNICATIONS CORP,213193 ,277150.90 
NPSF30015002,35952Q106,FUCHS PETROLUB SE,137260 ,1925620.54 
NPSF10014002,359694106,HB FULLER CO,7637 ,395749.34 
NPSF10019002,359694106,HB FULLER CO,30103 ,1559937.46 
NPSF10018002,359694106,HB FULLER CO,8210 ,425442.20 
NPSF10013002,360271100,FULTON FINANCIAL CORP,19901 ,355232.85 
NPSF10033002,360271100,FULTON FINANCIAL CORP,15827 ,282511.95 
NPSF10034002,360271100,FULTON FINANCIAL CORP,12553 ,224071.05 
NPSF10014002,36116M106,FUTUREFUEL CORP,3401 ,46457.66 
NPSF10033002,361448103,GATX CORP,4011 ,246395.73 
NPSF10034002,361448103,GATX CORP,2475 ,152039.25 
NPSF10013002,361448103,GATX CORP,4466 ,274346.38 
NPSF10034002,36162J106,GEO GROUP INC/THE,9035 ,275296.45 
NPSF10013002,36162J106,GEO GROUP INC/THE,14024 ,427296.05 
NPSF10033002,36162J106,GEO GROUP INC/THE,10730 ,326927.87 
NPSF10014002,36237H101,G-III APPAREL GROUP LTD,6788 ,134470.28 
NPSF10037002,36268W100,GAIN CAPITAL HOLDINGS INC,53215 ,311839.90 
NPSF10013002,36467W109,GAMESTOP CORP,11432 ,260420.96 
NPSF10033002,36467W109,GAMESTOP CORP,18504 ,421521.12 
NPSF10014002,36473H104,GANNETT CO INC,17543 ,138238.84 
NPSF10014002,369300108,GENERAL CABLE CORP,7427 ,126630.35 
NPSF10014002,369385109,GENERAL COMMUNICATION INC,3966 ,149280.24 
NPSF10035002,369550108,GENERAL DYNAMICS CORP,12200 ,2470744.00 
NPSF10018002,371532102,GENESCO INC,10190 ,385691.50 
NPSF10014002,371532102,GENESCO INC,3083 ,116691.55 
NPSF10013002,371559105,GENESEE & WYOMING INC,6935 ,456739.10 
NPSF10033002,371559105,GENESEE & WYOMING INC,5901 ,388639.86 
NPSF10034002,371559105,GENESEE & WYOMING INC,4102 ,270157.72 
NPSF10034002,371901109,GENTEX CORP,41233 ,798270.88 
NPSF10013002,371901109,GENTEX CORP,32905 ,637040.80 
NPSF10033002,37247D106,GENWORTH FINANCIAL INC,90623 ,332586.41 
NPSF10013002,37247D106,GENWORTH FINANCIAL INC,56620 ,207795.40 
NPSF10014002,37253A103,GENTHERM INC,5595 ,217925.25 
NPSF10014002,37364X109,GEOSPACE TECHNOLOGIES CORP,2007 ,31570.11 
NPSF10014002,37373ESC5,GERBER SCIENTIFIC INC COM,5412 ,0.00 
NPSF10014002,374297109,GETTY REALTY CORP,4040 ,102656.40 
NPSF10014002,374689107,GIBRALTAR INDUSTRIES INC,4834 ,153962.90 
NPSF10014002,37518B102,GIGAMON INC,4678 ,183845.40 
NPSF10014002,37637Q105,GLACIER BANCORP INC,11686 ,386806.60 
NPSF10014002,377316104,PH GLATFELTER CO,6730 ,127062.40 
NPSF10037002,377316104,PH GLATFELTER CO,39275 ,741512.00 
NPSF30017002,37733W105,GLAXOSMITHKLINE PLC,101079 ,4476788.91 
NPSF10033002,379577208,GLOBUS MEDICAL INC,6931 ,218534.43 
NPSF10013002,379577208,GLOBUS MEDICAL INC,8328 ,262581.84 
NPSF10030002,379577208,GLOBUS MEDICAL INC,22000 ,693660.00 
NPSF10034002,379577208,GLOBUS MEDICAL INC,4722 ,148884.66 
NPSF10014002,38376A103,GOVERNMENT PROPERTIES INCOME T,10870 ,239900.90 
NPSF10034002,384109104,GRACO INC,8077 ,907693.26 
NPSF10013002,384109104,GRACO INC,6361 ,714849.18 
NPSF10037002,384556106,GRAHAM CORP,35915 ,717940.85 
NPSF10033002,384637104,GRAHAM HOLDINGS CO,852 ,515289.60 
NPSF10013002,384637104,GRAHAM HOLDINGS CO,527 ,318729.60 
NPSF10030002,38526M106,GRAND CANYON EDUCATION INC,17381 ,1393260.96 
NPSF10013002,387328107,GRANITE CONSTRUCTION INC,4439 ,210319.82 
NPSF10034002,387328107,GRANITE CONSTRUCTION INC,5642 ,267317.96 
NPSF10013002,391164100,GREAT PLAINS ENERGY INC,24647 ,713777.12 
NPSF10033002,391164100,GREAT PLAINS ENERGY INC,39418 ,1141545.28 
NPSF10019002,391416104,GREAT WESTERN BANCORP INC,39924 ,1513918.08 
NPSF10014002,391416104,GREAT WESTERN BANCORP INC,8966 ,339990.72 
NPSF10037002,39260X100,GREEN BANCORP INC,13800 ,266340.00 
NPSF10014002,39304D102,GREEN DOT CORP,6810 ,253468.20 
NPSF10014002,393222104,GREEN PLAINS INC,5319 ,119411.55 
NPSF10014002,393657101,GREENBRIER COS INC/THE,4356 ,199287.00 
NPSF10014002,395259104,GREENHILL & CO INC,4120 ,86726.00 
NPSF10037002,395259104,GREENHILL & CO INC,36675 ,772008.75 
NPSF10013002,397624107,GREIF INC,2974 ,181711.40 
NPSF10033002,397624107,GREIF INC,4693 ,286742.30 
NPSF10014002,398433102,GRIFFON CORP,4674 ,103996.50 
NPSF30015002,398438408,GRIFOLS SA,68600 ,1481760.00 
NPSF10014002,398905109,GROUP 1 AUTOMOTIVE INC,3040 ,189392.00 
NPSF10030002,400110102,GRUBHUB INC,23814 ,1040909.94 
NPSF30015002,40049J206,GRUPO TELEVISA SAB,42040 ,1023674.00 
NPSF30015002,40052P107,GRUPO FINANCIERO BANORTE SAB D,60700 ,1756718.70 
NPSF10014002,401617105,GUESS? INC,9224 ,115023.28 
NPSF10014002,402307102,GULF ISLAND FABRICATION INC,2038 ,19666.70 
NPSF10037002,402307102,GULF ISLAND FABRICATION INC,46425 ,448001.25 
NPSF10034002,402635304,GULFPORT ENERGY CORP,13570 ,191879.80 
NPSF10033002,402635304,GULFPORT ENERGY CORP,11838 ,167389.32 
NPSF10013002,402635304,GULFPORT ENERGY CORP,18167 ,256881.38 
NPSF10019002,404030108,H&E EQUIPMENT SERVICES INC,43340 ,897571.40 
NPSF10037002,40416E103,HCI GROUP INC,19150 ,862899.00 
NPSF10014002,40416E103,HCI GROUP INC,1278 ,57586.68 
NPSF10030002,40418F108,HFF INC,19620 ,631175.40 
NPSF10014002,40418F108,HFF INC,5227 ,168152.59 
NPSF10033002,404251100,HNI CORP,3358 ,150908.52 
NPSF10013002,404251100,HNI CORP,4996 ,224520.24 
NPSF10034002,404251100,HNI CORP,3637 ,163446.78 
NPSF10014002,40425J101,HMS HOLDINGS CORP,12754 ,236331.62 
NPSF30015002,404280406,HSBC HOLDINGS PLC,40310 ,1765981.10 
NPSF10013002,404303109,HSN INC,3627 ,121504.50 
NPSF10033002,404303109,HSN INC,5808 ,194568.00 
NPSF10019002,405024100,HAEMONETICS CORP,13664 ,573341.44 
NPSF10014002,405024100,HAEMONETICS CORP,7882 ,330728.72 
NPSF10013002,405217100,HAIN CELESTIAL GROUP INC/THE,11708 ,417858.52 
NPSF10033002,405217100,HAIN CELESTIAL GROUP INC/THE,18971 ,677074.99 
NPSF10035002,406216101,HALLIBURTON CO,31500 ,1432935.00 
NPSF10013002,40650V100,HALYARD HEALTH INC,5216 ,192679.04 
NPSF10033002,40650V100,HALYARD HEALTH INC,8485 ,313435.90 
NPSF10013002,410120109,HANCOCK HOLDING CO,9587 ,453465.10 
NPSF10033002,410120109,HANCOCK HOLDING CO,15445 ,730548.50 
NPSF10019002,410120109,HANCOCK HOLDING CO,43340 ,2049982.00 
NPSF10037002,410495204,HANMI FINANCIAL CORP,28000 ,754600.00 
NPSF10014002,410495204,HANMI FINANCIAL CORP,5030 ,135558.50 
NPSF10019002,410867105,HANOVER INSURANCE GROUP INC/TH,9627 ,803854.50 
NPSF10013002,410867105,HANOVER INSURANCE GROUP INC/TH,4805 ,401217.50 
NPSF10033002,410867105,HANOVER INSURANCE GROUP INC/TH,7693 ,642365.50 
NPSF10037002,412324303,HARDINGE INC,47625 ,578167.50 
NPSF10014002,413160102,HARMONIC INC,11942 ,62695.50 
NPSF10014002,415864107,HARSCO CORP,12102 ,186975.90 
NPSF10037002,416196103,HARTE-HANKS INC,82300 ,109459.00 
NPSF10037002,416906105,HARVARD BIOSCIENCE INC,89500 ,219275.00 
NPSF10037002,419596101,HAVERTY FURNITURE COS INC,34225 ,850491.25 
NPSF10014002,419596101,HAVERTY FURNITURE COS INC,2889 ,71791.65 
NPSF10033002,419870100,HAWAIIAN ELECTRIC INDUSTRIES I,19665 ,663103.80 
NPSF10013002,419870100,HAWAIIAN ELECTRIC INDUSTRIES I,12416 ,418667.52 
NPSF10014002,419879101,HAWAIIAN HOLDINGS INC,8164 ,415955.80 
NPSF10030002,419879101,HAWAIIAN HOLDINGS INC,34467 ,1756093.65 
NPSF10014002,420261109,HAWKINS INC,1433 ,68067.50 
NPSF10037002,420877201,HAYNES INTERNATIONAL INC,21175 ,775428.50 
NPSF10014002,420877201,HAYNES INTERNATIONAL INC,1873 ,68589.26 
NPSF10014002,421906108,HEALTHCARE SERVICES GROUP INC,11055 ,538599.60 
NPSF10013002,421924309,HEALTHSOUTH CORP,10226 ,472747.98 
NPSF10034002,421924309,HEALTHSOUTH CORP,12748 ,589340.04 
NPSF10013002,421946104,HEALTHCARE REALTY TRUST INC,13289 ,447706.41 
NPSF10034002,421946104,HEALTHCARE REALTY TRUST INC,11840 ,398889.60 
NPSF10019002,421946104,HEALTHCARE REALTY TRUST INC,29035 ,978189.15 
NPSF10033002,421946104,HEALTHCARE REALTY TRUST INC,6351 ,213965.19 
NPSF10014002,42222N103,HEALTHSTREAM INC,3807 ,109337.04 
NPSF10014002,42226A107,HEALTHEQUITY INC,6697 ,317772.65 
NPSF10014002,422347104,HEARTLAND EXPRESS INC,6489 ,126859.95 
NPSF10014002,422819102,HEIDRICK & STRUGGLES INTERNATI,2992 ,65898.80 
NPSF10014002,42330P107,HELIX ENERGY SOLUTIONS GROUP I,21291 ,108797.01 
NPSF10019002,42330P107,HELIX ENERGY SOLUTIONS GROUP I,62341 ,318562.51 
NPSF10013002,426281101,JACK HENRY & ASSOCIATES INC,8803 ,925283.33 
NPSF10034002,426281101,JACK HENRY & ASSOCIATES INC,11134 ,1170294.74 
NPSF10014002,427825500,HERSHA HOSPITALITY TRUST,6257 ,118757.86 
NPSF10014002,42805E306,HESKA CORP,943 ,92546.02 
NPSF10018002,428291108,HEXCEL CORP,18430 ,958544.30 
NPSF10014002,428567101,HIBBETT SPORTS INC,3443 ,80738.35 
NPSF10013002,431284108,HIGHWOODS PROPERTIES INC,11549 ,586573.71 
