Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
NPSF30018002,25179MAP8,DEVON ENERGY CORP,"80,000.000","81,187.20"
NPSF30018002,25179MAU7,DEVON ENERGY CORP,"500,000.000","531,890.00"
NPSF30018002,25179MAV5,DEVON ENERGY CORP,"380,000.000","438,379.40"
NPSF20012002,25179MAV5,DEVON ENERGY CORP,"20,000.000","23,072.60"
NPSF30018002,25245BAB3,DIAGEO INVESTMENT CORP,"260,000.000","265,925.40"
NPSF10033002,25271C102,DIAMOND OFFSHORE DRILLING INC,"11,720.000","196,075.60"
NPSF20011002,25271CAP7,DIAMOND OFFSHORE DRILLING INC,"250,000.000","267,500.00"
NPSF30018002,25272KAA1,DELL INTERNATIONAL LLC / 144A,"430,000.000","437,714.20"
NPSF30018002,25272KAD5,DELL INTERNATIONAL LLC / 144A,"310,000.000","325,968.10"
NPSF20012002,25272KAK9,DELL INTERNATIONAL LLC / 144A,"100,000.000","111,437.00"
NPSF20011002,25272KAW3,DELL INTERNATIONAL LLC / 144A,"400,000.000","441,500.00"
NPSF30018002,25272KAW3,DELL INTERNATIONAL LLC / 144A,"170,000.000","187,637.50"
NPSF20011002,25278XAE9,DIAMONDBACK ENERGY INC,"225,000.000","228,937.50"
NPSF20011002,25278XAH2,DIAMONDBACK ENERGY INC,"506,000.000","525,607.50"
NPSF10034002,253393102,DICK'S SPORTING GOODS INC,"12,264.000","300,100.08"
NPSF10033002,253651103,DIEBOLD NIXDORF INC,"13,241.000","255,551.30"
LC1F10028002,253922108,DIME COMMUNITY BANCSHARES INC,"3,250.000","71,662.50"
NPSF10037002,253922108,DIME COMMUNITY BANCSHARES INC,"45,425.000","1,001,621.25"
NPSF10033002,254067101,DILLARD'S INC,"3,664.000","186,131.20"
NPSF20015002,25466AAC5,DISCOVER BANK,"400,000.000","400,380.00"
NPSF20012002,25466AAD3,DISCOVER BANK,"320,000.000","340,032.00"
NPSF20012002,25470DAL3,DISCOVERY COMMUNICATIONS LLC,"30,000.000","32,243.10"
NPSF20011002,25470XAB1,DISH DBS CORP,"675,000.000","729,337.50"
NPSF20012002,256677AD7,DOLLAR GENERAL CORP,"39,000.000","41,590.38"
NPSF30018002,256746AB4,DOLLAR TREE INC,"110,000.000","115,362.50"
NPSF20011002,256746AB4,DOLLAR TREE INC,"595,000.000","624,006.25"
NPSF20012002,25746UCN7,DOMINION ENERGY INC 144A,"180,000.000","179,744.40"
NPSF20012002,25746UCT4,DOMINION ENERGY INC,"35,000.000","35,191.45"
NPSF10034002,25754A201,DOMINO'S PIZZA INC,"6,479.000","1,185,657.00"
NPSF10033002,257559203,DOMTAR CORP,"11,041.000","522,460.12"
NPSF10034002,257651109,DONALDSON CO INC,"13,355.000","630,489.55"
NPSF10033002,257651109,DONALDSON CO INC,"6,927.000","327,023.67"
NPSF20011002,25787GAC4,DONNELLEY FINANCIAL SOLUTIONS,"310,000.000","332,862.50"
NPSF10030002,258278100,DORMAN PRODUCTS INC,"15,817.000","1,093,112.87"
NPSF10034002,25960P109,DOUGLAS EMMETT INC,"22,079.000","878,523.41"
LC1F10026002,26078J100,DOWDUPONT INC,"6,000.000","433,860.00"
NPSF10035002,26078J100,DOWDUPONT INC,"31,800.000","2,299,458.00"
LC1F10029002,262037104,DRIL-QUIP INC,"1,023.000","43,068.30"
NPSF10033002,262037104,DRIL-QUIP INC,"6,645.000","279,754.50"
NPSF10019002,262037104,DRIL-QUIP INC,"10,761.000","453,038.10"
NPSF20012002,26207KAD3,DRIVE AUTO RECEIVABLES TR 3 A3,"180,000.000","179,987.40"
NPSF20011002,26209NAK9,DRIVETIME AUTOMOTIVE GROU 144A,"335,000.000","336,675.00"
LC1F10028002,264147109,DUCOMMUN INC,"2,155.000","71,050.35"
NPSF10037002,264147109,DUCOMMUN INC,"29,500.000","972,615.00"
NPSF20012002,26441CAF2,DUKE ENERGY CORP,"125,000.000","130,092.50"
NPSF20012002,26441CAJ4,DUKE ENERGY CORP,"160,000.000","163,011.20"
NPSF20012002,26441CAN5,DUKE ENERGY CORP,"250,000.000","261,387.50"
NPSF30018002,26441CAY1,DUKE ENERGY CORP,"30,000.000","30,100.20"
NPSF20012002,26442CAC8,DUKE ENERGY CAROLINAS LLC,"175,000.000","176,342.25"
LC1F20010002,26442CAD6,DUKE ENERGY CAROLINAS LLC,"280,000.000","284,446.40"
NPSF20015002,26442CAM6,DUKE ENERGY CAROLINAS LLC,"350,000.000","381,076.50"
NPSF20012002,26442CAS3,DUKE ENERGY CAROLINAS LLC,"25,000.000","24,960.75"
NPSF20012002,26442UAA2,DUKE ENERGY PROGRESS LLC,"136,000.000","139,209.60"
NPSF10034002,26483E100,DUN & BRADSTREET CORP/THE,"5,378.000","628,311.74"
NPSF10034002,265504100,DUNKIN' BRANDS GROUP INC,"13,000.000","767,910.00"
NPSF20015002,266233AC9,DUQUESNE LIGHT HOLDINGS I 144A,"425,000.000","470,007.50"
NPSF10033002,267475101,DYCOM INDUSTRIES INC,"2,706.000","237,667.98"
NPSF10030002,267475101,DYCOM INDUSTRIES INC,"12,069.000","1,060,020.27"
NPSF10034002,267475101,DYCOM INDUSTRIES INC,"2,252.000","197,793.16"
NPSF20011002,268698AB3,EMI MUSIC PUBLISHING GROU 144A,"139,000.000","155,506.25"
LC1F40020002,26874R108,ENI SPA,"11,479.000","374,789.35"
NPSF30017002,26874R108,ENI SPA,"135,213.000","4,414,704.45"
NPSF20012002,26875PAP6,EOG RESOURCES INC,"275,000.000","292,960.25"
LC1F10026002,26884L109,EQT CORP,"4,340.000","271,423.60"
NPSF10035002,26884L109,EQT CORP,"23,100.000","1,444,674.00"
NPSF10034002,26884U109,EPR PROPERTIES,"5,686.000","393,357.48"
NPSF10033002,26884U109,EPR PROPERTIES,"4,403.000","304,599.54"
NPSF10034002,26969P108,EAGLE MATERIALS INC,"6,989.000","737,828.73"
LC1F10029002,27579R104,EAST WEST BANCORP INC,"6,318.000","378,069.12"
NPSF10034002,27579R104,EAST WEST BANCORP INC,"13,330.000","797,667.20"
NPSF10033002,27579R104,EAST WEST BANCORP INC,"9,227.000","552,143.68"
NPSF10019002,27579R104,EAST WEST BANCORP INC,"68,532.000","4,100,954.88"
NPSF20012002,277432AR1,EASTMAN CHEMICAL CO,"19,000.000","19,797.62"
NPSF20012002,278062AB0,EATON CORP,"305,000.000","305,000.00"
NPSF30018002,278062AC8,EATON CORP,"290,000.000","291,490.60"
NPSF20012002,278062AC8,EATON CORP,"146,000.000","146,750.44"
NPSF10034002,278265103,EATON VANCE CORP,"10,372.000","523,474.84"
NPSF10033002,278265103,EATON VANCE CORP,"7,700.000","388,619.00"
NPSF30018002,279158AD1,ECOPETROL SA,"120,000.000","121,920.00"
NPSF30018002,279158AJ8,ECOPETROL SA,"310,000.000","307,675.00"
NPSF10033002,28035Q102,EDGEWELL PERSONAL CARE CO,"10,104.000","656,052.72"
LC1F10029002,28140H203,EDUCATION REALTY TRUST INC,"1,637.000","57,131.30"
NPSF10019002,28140H203,EDUCATION REALTY TRUST INC,"16,439.000","573,721.10"
NPSF10034002,28140H203,EDUCATION REALTY TRUST INC,"10,648.000","371,615.20"
LC1F10029002,283677854,EL PASO ELECTRIC CO,"1,952.000","112,240.00"
NPSF10019002,283677854,EL PASO ELECTRIC CO,"20,534.000","1,180,705.00"
NPSF20011002,28368EAE6,KINDER MORGAN INC/DE,"155,000.000","199,102.15"
NPSF20012002,28370TAE9,KINDER MORGAN ENERGY PARTNERS,"86,000.000","92,660.70"
LC1F10011002,28470R102,ELDORADO RESORTS INC,"12,368.000","317,857.60"
NPSF10018002,28470R102,ELDORADO RESORTS INC,"73,879.000","1,898,690.30"
NPSF20011002,28470RAF9,ELDORADO RESORTS INC,"360,000.000","379,800.00"
LC1F10028002,285229100,ELECTRO SCIENTIFIC INDUSTRIES,"2,200.000","39,358.00"
NPSF10037002,285229100,ELECTRO SCIENTIFIC INDUSTRIES,"30,100.000","538,489.00"
LC1F10028002,288853104,PERRY ELLIS INTERNATIONAL INC,"1,275.000","29,694.75"
NPSF10037002,288853104,PERRY ELLIS INTERNATIONAL INC,"17,525.000","408,157.25"
NPSF10034002,29084Q100,EMCOR GROUP INC,"4,128.000","332,345.28"
NPSF10030002,29084Q100,EMCOR GROUP INC,"26,114.000","2,102,438.14"
NPSF10033002,29084Q100,EMCOR GROUP INC,"5,424.000","436,686.24"
NPSF20012002,29103DAC0,EMERA US FINANCE LP,"25,000.000","24,984.50"
NPSF30018002,29135LAC4,ABU DHABI GOVERNMENT INTE 144A,"350,000.000","347,725.00"
NPSF10034002,29265N108,ENERGEN CORP,"5,934.000","306,787.80"
NPSF10033002,29265N108,ENERGEN CORP,"10,001.000","517,051.70"
LC1F40020002,29265W207,ENEL SPA,"71,968.000","446,417.50"
NPSF30017002,29265W207,ENEL SPA,"850,198.000","5,273,778.19"
NPSF10033002,29272W109,ENERGIZER HOLDINGS INC,"4,257.000","183,008.43"
NPSF10034002,29272W109,ENERGIZER HOLDINGS INC,"5,570.000","239,454.30"
NPSF20012002,29273RBD0,ENERGY TRANSFER LP,"390,000.000","396,587.10"
NPSF20012002,29273RBG3,ENERGY TRANSFER LP,"40,000.000","42,097.20"
NPSF10034002,29275Y102,ENERSYS,"6,313.000","437,932.81"
NPSF20012002,29336UAA5,ENLINK MIDSTREAM PARTNERS LP,"40,000.000","40,084.40"
NPSF20012002,29336UAF4,ENLINK MIDSTREAM PARTNERS LP,"30,000.000","31,600.50"
LC1F10029002,29355X107,ENPRO INDUSTRIES INC,936.000,"78,380.64"
NPSF10019002,29355X107,ENPRO INDUSTRIES INC,"9,394.000","786,653.56"
NPSF20011002,29358QAD1,ENSCO PLC,"500,000.000","341,250.00"
NPSF20011002,29358QAG4,ENSCO PLC,"705,000.000","697,950.00"
NPSF30018002,29358QAG4,ENSCO PLC,"84,000.000","83,160.00"
NPSF10030002,29362U104,ENTEGRIS INC,"37,735.000","1,235,821.25"
NPSF20015002,29365TAA2,ENTERGY TEXAS INC,"450,000.000","476,770.50"
NPSF20012002,29379VBE2,ENTERPRISE PRODUCTS OPERATING,"390,000.000","406,259.10"
NPSF20011002,29413XAB3,ENVIVA PARTNERS LP / ENVIVA PA,"115,000.000","123,337.50"
NPSF10030002,294268107,EPLUS INC,"11,274.000","1,077,794.40"
NPSF30018002,29441WAC9,EQUATE PETROCHEMICAL BV 144A,"200,000.000","205,500.00"
NPSF20012002,294429AK1,EQUIFAX INC,"30,000.000","29,226.60"
NPSF20011002,29444UAQ9,EQUINIX INC,"365,000.000","395,568.75"
LC1F10028002,29667D104,ESSA BANCORP INC,"2,100.000","33,957.00"
NPSF10037002,29667D104,ESSA BANCORP INC,"28,900.000","467,313.00"
NPSF10033002,297425100,ESTERLINE TECHNOLOGIES CORP,"4,651.000","441,147.35"
LC1F10028002,297602104,ETHAN ALLEN INTERIORS INC,"1,450.000","43,137.50"
NPSF10037002,297602104,ETHAN ALLEN INTERIORS INC,"19,825.000","589,793.75"
LC1F10011002,298736109,EURONET WORLDWIDE INC,"1,780.000","172,019.20"
NPSF10018002,298736109,EURONET WORLDWIDE INC,"10,660.000","1,030,182.40"
NPSF10030002,298736109,EURONET WORLDWIDE INC,"27,967.000","2,702,730.88"
NPSF10030002,29977A105,EVERCORE INC,"21,585.000","1,728,958.50"
NPSF10030002,30063P105,EXACT SCIENCES CORP,"10,968.000","603,130.32"
LC1F20010002,30161NAH4,EXELON CORP,"280,000.000","284,880.40"
NPSF20012002,30161NAT8,EXELON CORP,"5,000.000","5,003.25"
NPSF20012002,30161NAU5,EXELON CORP,"5,000.000","5,034.60"
NPSF10030002,302081104,EXLSERVICE HOLDINGS INC,"18,345.000","1,145,094.90"
NPSF20012002,30216BGH9,EXPORT DEVELOPMENT CANADA 144A,"200,000.000","198,750.00"
NPSF30018002,30231GAT9,EXXON MOBIL CORP,"170,000.000","173,614.20"
NPSF30018002,30231GAW2,EXXON MOBIL CORP,"60,000.000","65,343.60"
LC1F20010002,302491AS4,FMC CORP,"300,000.000","311,691.00"
NPSF10033002,302520101,FNB CORP/PA,"57,318.000","773,219.82"
LC1F10011002,30255G103,FCB FINANCIAL HOLDINGS INC,"2,330.000","108,811.00"
NPSF10018002,30255G103,FCB FINANCIAL HOLDINGS INC,"13,880.000","648,196.00"
NPSF20011002,30283WAC8,FTS INTERNATIONAL INC 144A,"195,000.000","199,143.75"
NPSF10034002,303075105,FACTSET RESEARCH SYSTEMS INC,"4,070.000","772,770.90"
NPSF10033002,303075105,FACTSET RESEARCH SYSTEMS INC,"1,950.000","370,246.50"
NPSF10030002,303250104,FAIR ISAAC CORP,"6,054.000","878,798.64"
NPSF10034002,303250104,FAIR ISAAC CORP,"4,461.000","647,558.76"
NPSF30018002,30711XEP5,FANNIE MAE CONNECTICUT C01 1M2,"1,020,000.000","1,085,371.80"
NPSF30015002,307305102,FANUC CORP,"197,216.002","4,576,791.76"
NPSF20015002,30958PAA1,FARMERS EXCHANGE CAPITAL 144A,"600,000.000","682,158.00"
LC1F20010002,3128M4WH2,FHLMC   POOL #G0-3048,"16,606.949","18,515.09"
LC1F20010002,3128M7E51,FHLMC   POOL #G0-5256,"39,928.058","41,985.55"
LC1F20010002,3128M7PB6,FHLMC   POOL #G0-5518,"20,121.010","21,966.51"
NPSF20015002,3128M8RU0,FHLMC   POOL #G0-6499,"544,470.590","578,178.76"
NPSF20015002,3128M96X5,FHLMC   POOL #G0-7786,"207,119.960","220,379.78"
NPSF20015002,3128MABR9,FHLMC   POOL #G0-7848,"815,430.010","845,715.08"
NPSF30018002,3128MJ2D1,FHLMC   POOL #G0-8771,"1,171,954.620","1,230,739.86"
NPSF20015002,3128MJY61,FHLMC   POOL #G0-8732,"612,043.580","613,353.35"
NPSF20015002,3128MJYD6,FHLMC   POOL #G0-8707,"759,261.560","796,958.90"
NPSF20015002,3128MJYH7,FHLMC   POOL #G0-8711,"574,522.340","591,016.88"
NPSF20015002,3128MJYM6,FHLMC   POOL #G0-8715,"1,380,313.190","1,383,694.96"
NPSF20015002,3128MJYN4,FHLMC   POOL #G0-8716,"91,880.640","94,518.53"
NPSF20015002,3128MJYU8,FHLMC   POOL #G0-8722,"341,680.910","351,490.57"
NPSF20015002,3128MJYY0,FHLMC   POOL #G0-8726,"979,924.560","982,168.59"
NPSF20015002,3128MJZF0,FHLMC   POOL #G0-8741,"2,155,533.820","2,159,931.11"
NPSF20015002,3128MJZG8,FHLMC   POOL #G0-8742,"2,104,980.760","2,165,414.76"
NPSF20015002,3128MMUS0,FHLMC   POOL #G1-8592,"215,821.510","221,283.95"
NPSF20015002,3128MMVQ3,FHLMC   POOL #G1-8622,"588,376.430","591,418.34"
NPSF20015002,3128MMVV2,FHLMC   POOL #G1-8627,"952,129.640","976,228.04"
NPSF20015002,3129285T7,FHLMC   POOL #A8-2658,"28,257.924","31,050.65"
NPSF20015002,31292HZN7,FHLMC   POOL #C0-1649,"94,051.539","104,830.79"
LC1F20010002,312934SB9,FHLMC   POOL #A8-7714,"36,026.820","37,886.88"
LC1F20010002,3129413N5,FHLMC   POOL #A9-3505,"53,557.390","57,519.03"
LC1F20010002,3130ACM92,FEDERAL HOME LN BK CONS BD,"700,000.000","698,004.30"
NPSF20015002,3132GLQN7,FHLMC   POOL #Q0-5261,"376,852.910","390,834.15"
NPSF30018002,3132H7D68,FHLMC   POOL #U9-9124,"37,876.192","39,065.50"
NPSF30018002,3132JBRF2,FHLMC   POOL #Q1-9985,"1,742,424.775","1,854,044.51"
NPSF30018002,3132MAVM0,FHLMC   POOL #Q2-9920,"420,792.338","456,202.01"
NPSF30018002,3132WFWJ4,FHLMC   POOL #Q4-2448,"46,718.220","49,037.78"
NPSF30018002,3132WHTR6,FHLMC   POOL #Q4-4159,"905,522.290","950,508.64"
NPSF30018002,3132WJLF6,FHLMC   POOL #Q4-4825,"315,748.680","331,435.07"
NPSF30018002,3132WKFA1,FHLMC   POOL #Q4-5560,"289,389.870","290,344.86"
NPSF30018002,3132WKLT3,FHLMC   POOL #Q4-5737,"668,258.730","670,985.23"
NPSF30018002,3132WKPD4,FHLMC   POOL #Q4-5819,"189,892.710","190,667.47"
NPSF30018002,3132WKPM4,FHLMC   POOL #Q4-5827,"95,411.550","95,726.41"
NPSF20015002,3132XCRY3,FHLMC   POOL #G6-7703,"1,788,393.200","1,850,539.86"
NPSF20015002,31335ACR7,FHLMC   POOL #G6-0080,"996,935.530","1,031,908.03"
NPSF20015002,31335AJX7,FHLMC   POOL #G6-0278,"770,216.490","819,132.94"
NPSF30018002,313385SG2,FEDERAL HOME LN BK CONS DISC N,"1,100,000.000","1,096,857.97"
NPSF30018002,313385TR7,FEDERAL HOME LN BK CONS DISC,"1,150,000.000","1,145,371.25"
NPSF30018002,31352DC24,FHLMC MULTICLASS MTG,"92,620.784","5,789.73"
NPSF20012002,31359MFJ7,FEDERAL NATL MTG ASSN,"455,000.000","657,943.65"
LC1F20010002,3135G0E33,FEDERAL NATL MTG ASSN,"700,000.000","698,481.00"
NPSF20015002,3136ALHU8,FNMA GTD REMIC P/T 14-M12 FA,"98,367.580","98,345.94"
NPSF20015002,3136AMMF3,FNMA GTD REMIC P/T 15-M2 A3,"511,989.850","527,354.67"
NPSF30018002,3136APB68,FNMA GTD REMIC P/T,"59,112.389","2,897.69"
NPSF30018002,3136APTN2,FNMA GTD REMIC P/T,"1,666,064.547","371,582.38"
NPSF30018002,3136AT5G5,FNMA GTD REMIC P/T 16-M11 AL,"208,552.500","205,459.67"
NPSF20012002,3136ATMA9,FNMA GTD REMIC P/T 16-48 UF,"383,500.930","385,276.54"
LC1F20010002,31371J7F5,FNMA    POOL #0253894,"10,371.497","11,758.48"
NPSF20012002,3137AQU22,FHLMC MULTICLASS MTG 4048 CE,"595,000.000","643,611.50"
NPSF30018002,3137ARFB7,FHLMC MULTICLASS MTG 4066 PIIO,"2,310,713.384","266,540.79"
NPSF30018002,3137B1J94,FHLMC MULTICLASS MTG 4194 BIIO,"857,329.088","134,360.61"
NPSF20012002,3137B4UR5,FHLMC MULTICLASS MTG,"159,405.186","160,272.35"
NPSF20015002,3137B5J95,FHLMC MULTICLASS MTG KF02 A3,"245,323.640","245,468.38"
NPSF30018002,3137BF4Y4,FHLMC MULTICLASS MTG 4415 IOIO,"259,911.380","13,104.73"
NPSF20015002,3137BKGK0,FHLMC MULTICLASS MTG K151 A3,"280,000.000","290,315.20"
NPSF20015002,3137BLMD7,FHLMC MULTICLASS MTG KS03 A4,"135,000.000","138,753.00"
NPSF20015002,3137BPVN6,FHLMC MULTICLASS MTG K152 A2,"905,000.000","900,900.35"
NPSF20015002,3137BTEH0,FHLMC MULTICLASS MTG 4639 HZ,"593,587.470","547,335.13"
LC1F20010002,3137EAEE5,FEDERAL HOME LN MTG CORP,"600,000.000","597,534.00"
LC1F20010002,3137EAEF2,FEDERAL HOME LN MTG CORP,"600,000.000","594,714.00"
LC1F20010002,3137EAEH8,FEDERAL HOME LN MTG CORP,"800,000.000","796,504.00"
NPSF20015002,3137FARP5,FHLMC MULTICLASS MTG KF34 A,"369,996.610","369,301.02"
NPSF30018002,3137G0BV0,FREDDIE MAC STRUCTURED HQ1 M2,"623,305.790","629,813.10"
NPSF30018002,3137G0CG2,FREDDIE MAC STRUCTURED HQ2 M2,"1,140,000.000","1,176,787.80"
NPSF30018002,3137G0GW3,FREDDIE MAC STRUCTURED DNA3 M3,"1,610,000.000","1,869,644.70"
NPSF30018002,3137G0HW2,FREDDIE MAC STRUCTURED DNA1 M3,"1,620,000.000","1,890,847.80"
NPSF30018002,3137G0JU4,FREDDIE MAC STRUCTURED DNA2 M3,"930,000.000","1,053,894.60"
NPSF30018002,3137G0MC0,FREDDIE MAC STRUCTURED DNA1 M1,"1,188,032.900","1,202,027.93"
NPSF20012002,3137GAHS9,FHLMC MULTICLASS MTG,"550,000.000","609,059.00"
LC1F20010002,31381AN80,FNMA    POOL #0455015,686.924,770.05
NPSF20015002,31381NGK3,FNMA    POOL #0465602,"280,000.000","292,700.80"
NPSF20015002,31381Q5C6,FNMA    POOL #0468043,"253,078.579","269,214.87"
NPSF20015002,31381Q5H5,FNMA    POOL #0468048,"204,579.820","217,920.47"
NPSF20015002,31381QTL0,FNMA    POOL #0467755,"275,000.000","291,920.75"
NPSF20015002,31381RQ23,FNMA    POOL #0468573,"318,304.100","353,931.88"
LC1F20010002,31388UNB2,FNMA    POOL #0615186,"10,198.195","11,303.68"
NPSF30018002,3138A4EX9,FNMA    POOL #0AH2849,"149,076.640","154,878.70"
NPSF30018002,3138A8WD4,FNMA    POOL #0AH6943,"123,388.520","128,196.97"
NPSF30018002,3138EKF42,FNMA    POOL #0AL2886,"314,891.810","316,778.01"
NPSF30018002,3138EKLE3,FNMA    POOL #0AL3024,"933,678.756","963,285.71"
NPSF30018002,3138EPDJ0,FNMA    POOL #0AL6404,"304,102.455","327,545.71"
NPSF20015002,3138L73Z7,FNMA    POOL #0AM7115,"253,477.360","264,843.28"
NPSF20015002,3138LASF7,FNMA    POOL #0AM9517,"255,000.000","269,019.90"
NPSF20015002,3138LCLR4,FNMA    POOL #0AN0335,"270,000.000","279,320.40"
NPSF20015002,3138LDUS0,FNMA    POOL #0AN1492,"264,331.090","265,684.47"
NPSF20015002,3138LEBD2,FNMA    POOL #0AN1835,"280,000.000","269,234.00"
NPSF20015002,3138LEK83,FNMA    POOL #0AN2118,"273,866.220","264,968.31"
NPSF20015002,3138LFRV2,FNMA    POOL #0AN3199,"280,000.000","268,083.20"
NPSF20015002,3138LG4R4,FNMA    POOL #0AN4431,"275,000.000","282,400.25"
NPSF30018002,3138LJLD0,FNMA    POOL #0AN5723,"300,000.000","300,243.00"
NPSF20015002,3138LKH75,FNMA    POOL #0AN6553,"365,000.000","366,430.80"
NPSF30018002,3138MCE83,FNMA    POOL #0AP8258,"136,438.810","137,257.44"
NPSF30018002,3138MMN65,FNMA    POOL #0AQ5812,"204,845.250","211,334.75"
NPSF30018002,3138W2Z73,FNMA    POOL #0AR5265,"102,668.780","103,284.79"
NPSF30018002,3138WD4M0,FNMA    POOL #0AS4427,"869,839.644","948,812.39"
NPSF30018002,3138WD4R9,FNMA    POOL #0AS4431,"458,039.138","500,792.51"
NPSF30018002,3138WDW98,FNMA    POOL #0AS4271,"212,910.624","232,811.38"
NPSF30018002,3138WDZU8,FNMA    POOL #0AS4354,"1,000,033.619","1,090,776.67"
NPSF30018002,3138WGA61,FNMA    POOL #0AS6328,"1,625,858.754","1,672,520.90"
NPSF30018002,3138WJJD1,FNMA    POOL #0AS8359,"279,836.483","280,152.70"
NPSF30018002,3138WJSM1,FNMA    POOL #0AS8623,"191,657.590","192,282.39"
NPSF30018002,3138WJWF1,FNMA    POOL #0AS8745,"676,929.026","679,460.74"
NPSF20015002,3138WK4Q5,FNMA    POOL #0AS9830,"538,939.700","566,598.09"
NPSF30018002,3138WKQF5,FNMA    POOL #0AS9453,"384,913.480","406,518.67"
NPSF20015002,3138WLCJ0,FNMA    POOL #0AS9972,"467,346.320","491,330.53"
NPSF30018002,3138WNC80,FNMA    POOL #0AT0994,"285,876.830","295,402.25"
NPSF30018002,3138WQA36,FNMA    POOL #0AT2725,"1,936,533.940","1,948,153.14"
NPSF30018002,3138WQQ96,FNMA    POOL #0AT3179,"1,313,442.470","1,321,336.26"
NPSF20015002,3138WTSC1,FNMA    POOL #0AT5914,"934,468.570","965,165.86"
NPSF30018002,3138WVPE5,FNMA    POOL #0AT7620,"635,902.710","639,724.49"
NPSF30018002,3138X0Y69,FNMA    POOL #0AU1632,"3,420,841.350","3,441,024.31"
NPSF20015002,31394VED8,FNMA GTD REMIC P/T 05-122 SG,"521,255.620","69,493.80"
NPSF30018002,31396LLQ1,FNMA GTD REMIC P/T 06-104 MI,"870,037.968","96,739.52"
NPSF20015002,31396WJ80,FNMA GTD REMIC P/T 07-68 SC,"169,500.070","28,242.10"
NPSF20012002,31398STJ2,FNMA GTD REMIC P/T 10-136 CY,"415,000.000","445,270.10"
NPSF20015002,31402CQV7,FNMA    POOL #0725068,"3,291.745","3,311.82"
NPSF20015002,31402CQZ8,FNMA    POOL #0725072,"3,013.967","3,022.10"
NPSF20015002,31403DJR1,FNMA    POOL #0745572,"30,899.077","33,882.69"
NPSF20015002,31403DPN3,FNMA    POOL #0745729,"39,652.948","45,029.09"
NPSF20015002,31407XU74,FNMA    POOL #0844006,"60,221.650","67,509.07"
NPSF20015002,31407YQ51,FNMA    POOL #0844776,"40,419.373","45,310.52"
NPSF30018002,31409VG49,FNMA    POOL #0879619,"32,756.160","33,909.18"
NPSF30018002,31409WXK2,FNMA    POOL #0880982,"21,084.460","21,941.96"
NPSF30018002,3140F9WR2,FNMA    POOL #0BD2455,"574,988.890","576,863.35"
NPSF30018002,3140FXEP3,FNMA    POOL #0BF0141,"560,983.316","627,218.62"
NPSF30018002,3140FXET5,FNMA    POOL #0BF0145,"1,757,529.580","1,804,947.73"
NPSF30018002,31410CJQ6,FNMA    POOL #0885071,"21,840.960","22,544.89"
NPSF20015002,31410EB64,FNMA    POOL #0886661,"21,279.278","24,143.04"
NPSF20015002,31410FST3,FNMA    POOL #0888030,"143,723.504","160,030.37"
NPSF20015002,31410WAQ1,FNMA    POOL #0899215,"66,428.243","75,364.83"
NPSF20015002,31411AA70,FNMA    POOL #0901930,"45,445.914","47,382.82"
NPSF20015002,31411DB65,FNMA    POOL #0904661,"39,902.150","41,612.76"
NPSF20015002,31411FMC5,FNMA    POOL #0906755,"64,492.576","72,296.82"
NPSF30018002,31411FWX8,FNMA    POOL #0907062,"10,482.980","11,076.95"
NPSF30018002,31411LV24,FNMA    POOL #0911533,"2,774.310","2,791.26"
NPSF20015002,31411RT57,FNMA    POOL #0913272,"20,830.775","21,600.06"
NPSF20015002,31411VUK3,FNMA    POOL #0915986,"31,120.658","32,224.82"
NPSF30018002,31412DVT2,FNMA    POOL #0922326,"26,501.800","27,794.56"
NPSF20015002,31412LMG2,FNMA    POOL #0928359,"18,708.994","19,610.77"
NPSF30018002,31412NLE4,FNMA    POOL #0930125,"5,548.030","5,765.96"
NPSF20015002,31412SA96,FNMA    POOL #0933032,"39,749.372","42,205.09"
NPSF20015002,31413BHW4,FNMA    POOL #0940445,"39,975.637","41,361.19"
NPSF30018002,31413LG60,FNMA    POOL #0948521,"65,932.060","68,900.98"
NPSF30018002,31413MF28,FNMA    POOL #0949385,"23,297.850","24,218.12"
NPSF30018002,31413NJD8,FNMA    POOL #0950360,"11,973.860","12,204.48"
NPSF30018002,31413QN95,FNMA    POOL #0952316,"40,599.230","42,755.05"
NPSF30018002,31414D2X3,FNMA    POOL #0963490,"29,186.540","31,091.55"
LC1F20010002,31414MDV5,FNMA    POOL #0970016,"231,000.074","259,704.14"
NPSF30018002,31415VXY6,FNMA    POOL #0990895,"15,922.300","16,799.14"
NPSF30018002,31415WAV5,FNMA    POOL #0991120,"34,724.120","35,647.43"
NPSF30018002,31416CKN5,FNMA    POOL #0995901,"35,728.600","37,387.84"
NPSF30018002,31416ML36,FNMA    POOL #0AA3945,"94,841.000","99,560.29"
NPSF20015002,31417AYH6,FNMA    POOL #0AB4311,"340,306.750","358,713.94"
NPSF30018002,31417EZB0,FNMA    POOL #0AB7937,"129,779.740","130,555.82"
NPSF30018002,31417UCT0,FNMA    POOL #0AC7281,"38,581.710","40,433.63"
NPSF30018002,31417XAP4,FNMA    POOL #0AC9913,"37,077.460","38,249.48"
NPSF30018002,31417YKH9,FNMA    POOL #0MA0295,"1,263,700.940","1,371,696.82"
NPSF30018002,31417YNH6,FNMA    POOL #0MA0391,"42,836.750","44,929.75"
NPSF30018002,31417YSJ7,FNMA    POOL #0MA0520,"38,111.660","39,977.61"
